TxnID	MoneyType
TXN-0001	TicketSale
TXN-0002	ParkingSale
TXN-0003	MemberFunding
TXN-0004	ParkingCost
TXN-0005	MemberFunding
TXN-0006	ParkingCost
TXN-0007	TicketSale
TXN-0008	ParkingCost
TXN-0009	SharedOpportunity
TXN-0010	ParkingSale
TXN-0011	TicketSale
TXN-0012	ParkingSale
TXN-0013	TicketSale
TXN-0014	ParkingSale
TXN-0015	TicketSale
TXN-0016	TicketSale
TXN-0017	ParkingSale
TXN-0018	OtherCost
TXN-0027	OtherCost
TXN-0028	TicketCost
TXN-0029	TicketSale
TXN-0031	MemberFunding
TXN-0032	TicketCost
TXN-0033	ParkingCost
TXN-0034	TicketCost
TXN-0035	TicketCost
TXN-0036	TicketCost
TXN-0037	TicketCost
TXN-0038	TicketCost
TXN-0039	TicketCost
TXN-0040	TicketCost
TXN-0041	MemberFunding
TXN-0042	TicketCost
TXN-0043	TicketSale
TXN-0044	TicketSale
TXN-0045	ParkingSale
TXN-0046	TicketSale
TXN-0047	TicketSale
TXN-0048	ParkingSale
TXN-0049	TicketSale
TXN-0050	ParkingSale
TXN-0051	TicketSale
TXN-0052	ParkingSale
TXN-0053	TicketSale
TXN-0054	TicketCost
TXN-0055	TicketCost
TXN-0056	ParkingCost
TXN-0057	TicketSale
TXN-0058	ParkingSale
TXN-0059	TicketCost
TXN-0060	TicketSale
TXN-0061	TicketCost
TXN-0062	TicketSale
TXN-0063	TicketCost
TXN-0064	TicketSale
TXN-0065	OtherCost
TXN-0066	MemberFunding
TXN-0067	MemberFunding
TXN-0068	TicketCost
TXN-0072	ParkingCost
TXN-0069	TicketCost
TXN-0073	ParkingCost
TXN-0070	TicketCost
TXN-0074	ParkingCost
TXN-0071	TicketCost
TXN-0075	ParkingCost
TXN-0076	SharedOpportunity
